localizacao,descricao,detalhe_segundario,data,qtd_noites,valor,avaliacao
Ônibus em Mairiporã,Refúgio Manjerico. 40 min de SP,"Cancelamento gratuito
Cancelamento gratuito","27 de jul. – 1 de ago.
27 de jul. – 1 de ago.",por 5 noites,R$2.910,"4,91 de uma avaliação média de 5, 143 avaliações
4,91 (143)"
Apartamento em São Paulo,Mini Rooftop - Celebre Momentos Especiais Aqui,"1 cama
1 cama","30 de jun. – 5 de jul.
30 de jun. – 5 de jul.",por 5 noites,R$1.975,"4,94 de uma avaliação média de 5, 236 avaliações
4,94 (236)"
Apartamento em São Paulo,Apto Spa c/ Hidro e Super Vista! Arq. Niemeyer,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$1.883,"4,68 de uma avaliação média de 5, 276 avaliações
4,68 (276)"
Loft em São Paulo,Vista do Mirante. Loft Black Onyx.,"1 cama queen
1 cama queen","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$2.716,"4,98 de uma avaliação média de 5, 63 avaliações
4,98 (63)"
Apartamento em São Paulo,"3606-1: apt com banheira, cinema,projetor, vista!","Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$2.396,"4,82 de uma avaliação média de 5, 102 avaliações
4,82 (102)"
Cabana em Itapecerica da Serra,Chalé Orquídea - Luxo e Romance na Natureza,"2 camas
2 camas","21 – 26 de jun.
21 – 26 de jun.",por 5 noites,R$2.277,"4,94 de uma avaliação média de 5, 33 avaliações
4,94 (33)"
Cabana em Mairiporã,Cabanas Cantareira - Jacarandá,"4 camas
4 camas","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$3.823,"4,92 de uma avaliação média de 5, 26 avaliações
4,92 (26)"
Casa de hóspedes em Itapecerica da Serra,Descanso no lago 40min. de SP. Girassol,"Cancelamento gratuito
Cancelamento gratuito","29 de jul. – 3 de ago.
29 de jul. – 3 de ago.",por 5 noites,R$921,"5,0 de uma avaliação média de 5, 35 avaliações
5,0 (35)"
Apartamento em São Paulo,Loft 2725: paraíso nas alturas!,,"5 – 10 de jun.
5 – 10 de jun.",por 5 noites,R$1.714,"4,94 de uma avaliação média de 5, 123 avaliações
4,94 (123)"
Apartamento em São Paulo,Studio em vermelho - Copan por @yanaina_interior,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$2.035,"4,91 de uma avaliação média de 5, 256 avaliações
4,91 (256)"
Cabana em Atibaia,Cabana Miralle I,"1 cama
1 cama","28 de jun. – 3 de jul.
28 de jun. – 3 de jul.",por 5 noites,R$4.213,"4,89 de uma avaliação média de 5, 190 avaliações
4,89 (190)"
Cabana em Mairiporã,Chalé na Montanha em Mairiporã - 3,"Cancelamento gratuito
Cancelamento gratuito","28 de jun. – 3 de jul.
28 de jun. – 3 de jul.",por 5 noites,R$3.081,"5,0 de uma avaliação média de 5, 25 avaliações
5,0 (25)"
Casa em Mairiporã,Casa com linda vista da Serra da Cantareira,"2 camas
2 camas","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$2.566,"4,93 de uma avaliação média de 5, 85 avaliações
4,93 (85)"
Loft em São Paulo,"Loft premium, perfeito p casal. Novo perto de tudo","1 cama de casal
1 cama de casal","4 – 9 de jun.
4 – 9 de jun.",por 5 noites,R$1.151,"5,0 de uma avaliação média de 5, 88 avaliações
5,0 (88)"
Apartamento em São Paulo,@estudionewbe - Apartamento moderno no Mirante do Vale,"1 cama
1 cama","7 – 12 de jul.
7 – 12 de jul.",por 5 noites,R$2.054,"4,84 de uma avaliação média de 5, 55 avaliações
4,84 (55)"
Apartamento em São Paulo,LOFT 3012 moderno com vista linda de São Paulo!,"Cancelamento gratuito
Cancelamento gratuito","20 – 25 de jun.
20 – 25 de jun.",por 5 noites,R$1.392,"4,89 de uma avaliação média de 5, 157 avaliações
4,89 (157)"
Apartamento em São Paulo,2701 - Studio Urbano com Vista do Vale,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$810,"4,86 de uma avaliação média de 5, 79 avaliações
4,86 (79)"
Apartamento em São Paulo,1526 - Loft no prédio do Sampa Sky,"Cancelamento gratuito
Cancelamento gratuito","28 de jun. – 3 de jul.
28 de jun. – 3 de jul.",por 5 noites,R$796,"4,84 de uma avaliação média de 5, 90 avaliações
4,84 (90)"
Loft em Centro Histórico de São Paulo,Estúdio encantador que não está olhando para SP high corn,"Cancelamento gratuito
Cancelamento gratuito","12 – 17 de jul.
12 – 17 de jul.",por 5 noites,R$1.027,"4,93 de uma avaliação média de 5, 338 avaliações
4,93 (338)"
Chalé em Mairiporã,Casa na natureza na Serra da Cantareira com hidro,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$3.562,"4,93 de uma avaliação média de 5, 85 avaliações
4,93 (85)"
Chalé em Mairiporã,Aconchego Rústico,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$2.475,"4,92 de uma avaliação média de 5, 92 avaliações
4,92 (92)"
Cabana em Mairiporã,Chalé na Montanha em Mairiporã - 2,"3 camas
3 camas","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$2.556,"5,0 de uma avaliação média de 5, 67 avaliações
5,0 (67)"
Casa de hóspedes em Mairiporã,Chalé Vintage Serra Cantareira,"1 cama
1 cama","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$1.198,"4,94 de uma avaliação média de 5, 63 avaliações
4,94 (63)"
Apartamento em São Paulo,Alecrim no Copan por @zairagon,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$2.933,"4,85 de uma avaliação média de 5, 170 avaliações
4,85 (170)"
Apartamento em São Paulo,Studio com Varanda em frente ao Allianz Parque,"2 camas
2 camas","6 – 11 de jun.
6 – 11 de jun.",por 5 noites,R$1.458,"5,0 de uma avaliação média de 5, 17 avaliações
5,0 (17)"
Apartamento em São Paulo,Apto próximo ao metrô Barra Funda e Allianz Parque,"2 camas
2 camas","4 – 9 de jun.
4 – 9 de jun.",por 5 noites,R$1.335,"4,98 de uma avaliação média de 5, 66 avaliações
4,98 (66)"
Cabana em Mairiporã,Chalé Quietude,"Cancelamento gratuito
Cancelamento gratuito","28 de jul. – 2 de ago.
28 de jul. – 2 de ago.",por 5 noites,R$1.986,"4,98 de uma avaliação média de 5, 100 avaliações
4,98 (100)"
Apartamento em São Paulo,Studio completo no coração de SP | República,"2 camas de solteiro
2 camas de solteiro","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$813,"4,71 de uma avaliação média de 5, 255 avaliações
4,71 (255)"
Loft em São Paulo,Espaço Náutico em Santana - ZN,"2 camas de casal
2 camas de casal","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$2.357,"4,99 de uma avaliação média de 5, 74 avaliações
4,99 (74)"
Casa de hóspedes em Jardim Novo Embu,Chalé charmoso em chácara com piscina no Embu,"3 camas de casal
3 camas de casal","3 – 8 de jun.
3 – 8 de jun.",por 5 noites,R$1.997,"4,94 de uma avaliação média de 5, 272 avaliações
4,94 (272)"
